model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
llama3,8B,-4,11,20,20,AR-LSAT-dev,non expert,57,0,174,231,24.68,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-dev,expert,69,0,162,231,29.87,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-dev,confident,66,0,165,231,28.57,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-dev,unconfident,40,0,191,231,17.32,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-dev,neutral,61,0,170,231,26.41,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-test,non expert,46,0,184,230,20.0,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-test,expert,51,0,179,230,22.17,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-test,confident,48,0,182,230,20.87,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-test,unconfident,48,0,182,230,20.87,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-test,neutral,47,0,183,230,20.43,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-train,non expert,327,0,1303,1630,20.06,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-train,expert,368,0,1262,1630,22.58,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-train,confident,364,0,1266,1630,22.33,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-train,unconfident,317,0,1313,1630,19.45,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-train,neutral,363,0,1267,1630,22.27,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-dev,student,60,0,171,231,25.97,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-dev,person,52,0,179,231,22.51,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-test,student,47,0,183,230,20.43,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-test,person,49,0,181,230,21.3,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-train,student,347,0,1283,1630,21.29,default,0,
llama3,8B,-4,11,20,20,AR-LSAT-train,person,322,0,1308,1630,19.75,default,0,
