model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
llama3,8B,4,11,20,20,AR-LSAT-dev,non expert,61,0,170,231,26.41,default,0,
llama3,8B,4,11,20,20,AR-LSAT-dev,expert,63,0,168,231,27.27,default,0,
llama3,8B,4,11,20,20,AR-LSAT-dev,confident,65,0,166,231,28.14,default,0,
llama3,8B,4,11,20,20,AR-LSAT-dev,unconfident,58,0,173,231,25.11,default,0,
llama3,8B,4,11,20,20,AR-LSAT-dev,neutral,64,0,167,231,27.71,default,0,
llama3,8B,4,11,20,20,AR-LSAT-test,non expert,53,0,177,230,23.04,default,0,
llama3,8B,4,11,20,20,AR-LSAT-test,expert,53,0,177,230,23.04,default,0,
llama3,8B,4,11,20,20,AR-LSAT-test,confident,54,0,176,230,23.48,default,0,
llama3,8B,4,11,20,20,AR-LSAT-test,unconfident,53,0,177,230,23.04,default,0,
llama3,8B,4,11,20,20,AR-LSAT-test,neutral,57,0,173,230,24.78,default,0,
llama3,8B,4,11,20,20,AR-LSAT-train,non expert,382,0,1248,1630,23.44,default,0,
llama3,8B,4,11,20,20,AR-LSAT-train,expert,371,0,1259,1630,22.76,default,0,
llama3,8B,4,11,20,20,AR-LSAT-train,confident,384,0,1246,1630,23.56,default,0,
llama3,8B,4,11,20,20,AR-LSAT-train,unconfident,334,0,1296,1630,20.49,default,0,
llama3,8B,4,11,20,20,AR-LSAT-train,neutral,371,0,1259,1630,22.76,default,0,
llama3,8B,4,11,20,20,AR-LSAT-dev,student,65,0,166,231,28.14,default,0,
llama3,8B,4,11,20,20,AR-LSAT-dev,person,62,0,169,231,26.84,default,0,
llama3,8B,4,11,20,20,AR-LSAT-test,student,49,0,181,230,21.3,default,0,
llama3,8B,4,11,20,20,AR-LSAT-test,person,55,0,175,230,23.91,default,0,
llama3,8B,4,11,20,20,AR-LSAT-train,student,362,0,1268,1630,22.21,default,0,
llama3,8B,4,11,20,20,AR-LSAT-train,person,363,0,1267,1630,22.27,default,0,
