model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
llama3,8B,4,11,20,20,FACTOR Expert (MC4),non expert,183,0,53,236,77.54,default,0,
llama3,8B,4,11,20,20,FACTOR Expert (MC4),expert,182,0,54,236,77.12,default,0,
llama3,8B,4,11,20,20,FACTOR Expert (MC4),confident,180,0,56,236,76.27,default,0,
llama3,8B,4,11,20,20,FACTOR Expert (MC4),unconfident,167,0,69,236,70.76,default,0,
llama3,8B,4,11,20,20,FACTOR Expert (MC4),neutral,179,0,57,236,75.85,default,0,
llama3,8B,4,11,20,20,FACTOR News (MC4),non expert,685,0,351,1036,66.12,default,0,
llama3,8B,4,11,20,20,FACTOR News (MC4),expert,677,0,359,1036,65.35,default,0,
llama3,8B,4,11,20,20,FACTOR News (MC4),confident,674,0,362,1036,65.06,default,0,
llama3,8B,4,11,20,20,FACTOR News (MC4),unconfident,627,0,409,1036,60.52,default,0,
llama3,8B,4,11,20,20,FACTOR News (MC4),neutral,676,0,360,1036,65.25,default,0,
llama3,8B,4,11,20,20,FACTOR Wiki (MC4),non expert,1954,0,1040,2994,65.26,default,0,
llama3,8B,4,11,20,20,FACTOR Wiki (MC4),expert,1904,0,1090,2994,63.59,default,0,
llama3,8B,4,11,20,20,FACTOR Wiki (MC4),confident,1919,0,1075,2994,64.09,default,0,
llama3,8B,4,11,20,20,FACTOR Wiki (MC4),unconfident,1768,0,1226,2994,59.05,default,0,
llama3,8B,4,11,20,20,FACTOR Wiki (MC4),neutral,1912,0,1082,2994,63.86,default,0,
llama3,8B,4,11,20,20,FACTOR Expert (MC4),student,188,0,48,236,79.66,default,0,
llama3,8B,4,11,20,20,FACTOR Expert (MC4),person,187,0,49,236,79.24,default,0,
llama3,8B,4,11,20,20,FACTOR News (MC4),student,690,0,346,1036,66.6,default,0,
llama3,8B,4,11,20,20,FACTOR News (MC4),person,681,0,355,1036,65.73,default,0,
llama3,8B,4,11,20,20,FACTOR Wiki (MC4),student,1960,0,1034,2994,65.46,default,0,
llama3,8B,4,11,20,20,FACTOR Wiki (MC4),person,1953,0,1041,2994,65.23,default,0,
