model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
llama3,8B,-4,11,20,20,Biology,neutral,280,0,71,351,79.77,default,0,
llama3,8B,-4,11,20,20,Business,neutral,127,0,433,560,22.68,default,0,
llama3,8B,-4,11,20,20,Chemistry,neutral,80,0,428,508,15.75,default,0,
llama3,8B,-4,11,20,20,ComputerScience,neutral,36,0,24,60,60.0,default,0,
llama3,8B,-4,11,20,20,EECS,neutral,17,0,59,76,22.37,default,0,
llama3,8B,-4,11,20,20,Economics,neutral,249,0,151,400,62.25,default,0,
llama3,8B,-4,11,20,20,ElectricCircuits,neutral,13,0,54,67,19.4,default,0,
llama3,8B,-4,11,20,20,ElectricalMachines,neutral,26,0,76,102,25.49,default,0,
llama3,8B,-4,11,20,20,Electromagnetics,neutral,16,0,84,100,16.0,default,0,
llama3,8B,-4,11,20,20,ElectronicCommunications,neutral,26,0,89,115,22.61,default,0,
llama3,8B,-4,11,20,20,Finance,neutral,12,0,62,74,16.22,default,0,
llama3,8B,-4,11,20,20,FluidMechanics,neutral,10,0,55,65,15.38,default,0,
llama3,8B,-4,11,20,20,Genetics,neutral,60,0,87,147,40.82,default,0,
llama3,8B,-4,11,20,20,HeatTransfer,neutral,15,0,51,66,22.73,default,0,
llama3,8B,-4,11,20,20,MachineDesign,neutral,10,0,60,70,14.29,default,0,
llama3,8B,-4,11,20,20,Math,neutral,47,0,297,344,13.66,default,0,
llama3,8B,-4,11,20,20,Mechanics,neutral,7,0,26,33,21.21,default,0,
llama3,8B,-4,11,20,20,Optics,neutral,34,0,159,193,17.62,default,0,
llama3,8B,-4,11,20,20,OrganicChemistry,neutral,3,0,14,17,17.65,default,0,
llama3,8B,-4,11,20,20,PhysicalChemistry,neutral,33,0,183,216,15.28,default,0,
llama3,8B,-4,11,20,20,Physics,neutral,73,0,422,495,14.75,default,0,
llama3,8B,-4,11,20,20,Psychology,neutral,240,0,65,305,78.69,default,0,
llama3,8B,-4,11,20,20,Thermodynamics,neutral,35,0,134,169,20.71,default,0,
llama3,8B,-4,11,20,20,TransportPhenomena,neutral,30,0,118,148,20.27,default,0,
llama3,8B,-4,11,20,20,abstract algebra,neutral,18,0,65,83,21.69,default,0,
llama3,8B,-4,11,20,20,anatomy,neutral,30,0,49,79,37.97,default,0,
llama3,8B,-4,11,20,20,astronomy,neutral,35,0,45,80,43.75,default,0,
llama3,8B,-4,11,20,20,atkins,neutral,9,0,92,101,8.91,default,0,
llama3,8B,-4,11,20,20,business ethics,neutral,19,0,24,43,44.19,default,0,
llama3,8B,-4,11,20,20,calculus,neutral,5,0,35,40,12.5,default,0,
