model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
llama3,70B,4,17,30,40,Biology,neutral,312,0,39,351,88.89,default,0,
llama3,70B,4,17,30,40,Business,neutral,131,0,429,560,23.39,default,0,
llama3,70B,4,17,30,40,Chemistry,neutral,99,0,409,508,19.49,default,0,
llama3,70B,4,17,30,40,ComputerScience,neutral,40,0,20,60,66.67,default,0,
llama3,70B,4,17,30,40,EECS,neutral,18,0,58,76,23.68,default,0,
llama3,70B,4,17,30,40,Economics,neutral,284,0,116,400,71.0,default,0,
llama3,70B,4,17,30,40,ElectricCircuits,neutral,16,0,51,67,23.88,default,0,
llama3,70B,4,17,30,40,ElectricalMachines,neutral,26,0,76,102,25.49,default,0,
llama3,70B,4,17,30,40,Electromagnetics,neutral,27,0,73,100,27.0,default,0,
llama3,70B,4,17,30,40,ElectronicCommunications,neutral,33,0,82,115,28.7,default,0,
llama3,70B,4,17,30,40,Finance,neutral,16,0,58,74,21.62,default,0,
llama3,70B,4,17,30,40,FluidMechanics,neutral,11,0,54,65,16.92,default,0,
llama3,70B,4,17,30,40,Genetics,neutral,79,0,68,147,53.74,default,0,
llama3,70B,4,17,30,40,HeatTransfer,neutral,15,0,51,66,22.73,default,0,
llama3,70B,4,17,30,40,MachineDesign,neutral,13,0,57,70,18.57,default,0,
llama3,70B,4,17,30,40,Math,neutral,57,0,287,344,16.57,default,0,
llama3,70B,4,17,30,40,Mechanics,neutral,9,0,24,33,27.27,default,0,
llama3,70B,4,17,30,40,Optics,neutral,36,0,157,193,18.65,default,0,
llama3,70B,4,17,30,40,OrganicChemistry,neutral,7,0,10,17,41.18,default,0,
llama3,70B,4,17,30,40,PhysicalChemistry,neutral,35,0,181,216,16.2,default,0,
llama3,70B,4,17,30,40,Physics,neutral,93,0,402,495,18.79,default,0,
llama3,70B,4,17,30,40,Psychology,neutral,255,0,50,305,83.61,default,0,
llama3,70B,4,17,30,40,Thermodynamics,neutral,47,0,122,169,27.81,default,0,
llama3,70B,4,17,30,40,TransportPhenomena,neutral,24,0,124,148,16.22,default,0,
llama3,70B,4,17,30,40,abstract algebra,neutral,33,0,50,83,39.76,default,0,
llama3,70B,4,17,30,40,anatomy,neutral,40,0,39,79,50.63,default,0,
llama3,70B,4,17,30,40,astronomy,neutral,51,0,29,80,63.75,default,0,
llama3,70B,4,17,30,40,atkins,neutral,17,0,84,101,16.83,default,0,
llama3,70B,4,17,30,40,business ethics,neutral,27,0,16,43,62.79,default,0,
llama3,70B,4,17,30,40,calculus,neutral,8,0,32,40,20.0,default,0,
llama3,70B,4,17,30,40,chemmc,neutral,11,0,22,33,33.33,default,0,
llama3,70B,4,17,30,40,class,neutral,8,0,37,45,17.78,default,0,
llama3,70B,4,17,30,40,clinical knowledge,neutral,42,0,30,72,58.33,default,0,
llama3,70B,4,17,30,40,college biology,neutral,49,0,30,79,62.03,default,0,
llama3,70B,4,17,30,40,college chemistry,neutral,18,0,45,63,28.57,default,0,
llama3,70B,4,17,30,40,college computer science,neutral,23,0,53,76,30.26,default,0,
llama3,70B,4,17,30,40,college mathematics,neutral,17,0,57,74,22.97,default,0,
llama3,70B,4,17,30,40,college medicine,neutral,29,0,19,48,60.42,default,0,
llama3,70B,4,17,30,40,college physics,neutral,14,0,54,68,20.59,default,0,
llama3,70B,4,17,30,40,computer security,neutral,20,0,26,46,43.48,default,0,
