model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,8B,-4,17,26,20,AR-LSAT-dev,non expert,61,0,170,231,26.41,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-dev,expert,65,0,166,231,28.14,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-dev,neutral,68,0,163,231,29.44,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-test,non expert,55,0,175,230,23.91,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-test,expert,58,0,172,230,25.22,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-test,neutral,61,0,169,230,26.52,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-train,non expert,388,0,1242,1630,23.8,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-train,expert,388,0,1242,1630,23.8,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-train,neutral,398,0,1232,1630,24.42,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-dev,confident,64,0,167,231,27.71,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-dev,unconfident,67,0,164,231,29.0,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-dev,student,61,0,170,231,26.41,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-dev,person,62,0,169,231,26.84,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-test,confident,65,0,165,230,28.26,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-test,unconfident,58,0,172,230,25.22,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-test,student,60,0,170,230,26.09,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-test,person,61,0,169,230,26.52,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-train,confident,394,0,1236,1630,24.17,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-train,unconfident,371,0,1259,1630,22.76,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-train,student,383,0,1247,1630,23.5,default,0,
qwen3,8B,-4,17,26,20,AR-LSAT-train,person,383,0,1247,1630,23.5,default,0,
