model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,8B,4,17,26,20,AR-LSAT-dev,non expert,63,0,168,231,27.27,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-dev,expert,60,0,171,231,25.97,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-dev,neutral,58,0,173,231,25.11,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-test,non expert,55,0,175,230,23.91,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-test,expert,56,0,174,230,24.35,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-test,neutral,71,0,159,230,30.87,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-train,non expert,412,0,1218,1630,25.28,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-train,expert,396,0,1234,1630,24.29,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-train,neutral,417,0,1213,1630,25.58,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-dev,confident,65,0,166,231,28.14,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-dev,unconfident,64,0,167,231,27.71,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-dev,student,64,0,167,231,27.71,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-dev,person,66,0,165,231,28.57,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-test,confident,65,0,165,230,28.26,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-test,unconfident,55,0,175,230,23.91,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-test,student,62,0,168,230,26.96,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-test,person,62,0,168,230,26.96,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-train,confident,421,0,1209,1630,25.83,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-train,unconfident,389,0,1241,1630,23.87,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-train,student,408,0,1222,1630,25.03,default,0,
qwen3,8B,4,17,26,20,AR-LSAT-train,person,407,0,1223,1630,24.97,default,0,
