model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,8B,-4,17,26,20,FACTOR Expert (MC4),non expert,171,0,65,236,72.46,default,0,
qwen3,8B,-4,17,26,20,FACTOR Expert (MC4),expert,191,0,45,236,80.93,default,0,
qwen3,8B,-4,17,26,20,FACTOR Expert (MC4),neutral,195,0,41,236,82.63,default,0,
qwen3,8B,-4,17,26,20,FACTOR News (MC4),non expert,627,0,409,1036,60.52,default,0,
qwen3,8B,-4,17,26,20,FACTOR News (MC4),expert,633,0,403,1036,61.1,default,0,
qwen3,8B,-4,17,26,20,FACTOR News (MC4),neutral,671,0,365,1036,64.77,default,0,
qwen3,8B,-4,17,26,20,FACTOR Wiki (MC4),non expert,1703,0,1291,2994,56.88,default,0,
qwen3,8B,-4,17,26,20,FACTOR Wiki (MC4),expert,1711,0,1283,2994,57.15,default,0,
qwen3,8B,-4,17,26,20,FACTOR Wiki (MC4),neutral,1823,0,1171,2994,60.89,default,0,
qwen3,8B,-4,17,26,20,FACTOR Expert (MC4),confident,199,0,37,236,84.32,default,0,
qwen3,8B,-4,17,26,20,FACTOR Expert (MC4),unconfident,152,0,84,236,64.41,default,0,
qwen3,8B,-4,17,26,20,FACTOR Expert (MC4),student,186,0,50,236,78.81,default,0,
qwen3,8B,-4,17,26,20,FACTOR Expert (MC4),person,184,0,52,236,77.97,default,0,
qwen3,8B,-4,17,26,20,FACTOR News (MC4),confident,694,0,342,1036,66.99,default,0,
qwen3,8B,-4,17,26,20,FACTOR News (MC4),unconfident,604,0,432,1036,58.3,default,0,
qwen3,8B,-4,17,26,20,FACTOR News (MC4),student,657,0,379,1036,63.42,default,0,
qwen3,8B,-4,17,26,20,FACTOR News (MC4),person,633,0,403,1036,61.1,default,0,
qwen3,8B,-4,17,26,20,FACTOR Wiki (MC4),confident,1892,0,1102,2994,63.19,default,0,
qwen3,8B,-4,17,26,20,FACTOR Wiki (MC4),unconfident,1626,0,1368,2994,54.31,default,0,
qwen3,8B,-4,17,26,20,FACTOR Wiki (MC4),student,1822,0,1172,2994,60.86,default,0,
qwen3,8B,-4,17,26,20,FACTOR Wiki (MC4),person,1761,0,1233,2994,58.82,default,0,
