model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,8B,4,17,26,20,FACTOR Expert (MC4),non expert,207,0,29,236,87.71,default,0,
qwen3,8B,4,17,26,20,FACTOR Expert (MC4),expert,210,0,26,236,88.98,default,0,
qwen3,8B,4,17,26,20,FACTOR Expert (MC4),neutral,206,0,30,236,87.29,default,0,
qwen3,8B,4,17,26,20,FACTOR News (MC4),non expert,762,0,274,1036,73.55,default,0,
qwen3,8B,4,17,26,20,FACTOR News (MC4),expert,765,0,271,1036,73.84,default,0,
qwen3,8B,4,17,26,20,FACTOR News (MC4),neutral,765,0,271,1036,73.84,default,0,
qwen3,8B,4,17,26,20,FACTOR Wiki (MC4),non expert,2015,0,979,2994,67.3,default,0,
qwen3,8B,4,17,26,20,FACTOR Wiki (MC4),expert,2029,0,965,2994,67.77,default,0,
qwen3,8B,4,17,26,20,FACTOR Wiki (MC4),neutral,2091,0,903,2994,69.84,default,0,
qwen3,8B,4,17,26,20,FACTOR Expert (MC4),confident,206,0,30,236,87.29,default,0,
qwen3,8B,4,17,26,20,FACTOR Expert (MC4),unconfident,208,0,28,236,88.14,default,0,
qwen3,8B,4,17,26,20,FACTOR Expert (MC4),student,210,0,26,236,88.98,default,0,
qwen3,8B,4,17,26,20,FACTOR Expert (MC4),person,211,0,25,236,89.41,default,0,
qwen3,8B,4,17,26,20,FACTOR News (MC4),confident,772,0,264,1036,74.52,default,0,
qwen3,8B,4,17,26,20,FACTOR News (MC4),unconfident,761,0,275,1036,73.46,default,0,
qwen3,8B,4,17,26,20,FACTOR News (MC4),student,775,0,261,1036,74.81,default,0,
qwen3,8B,4,17,26,20,FACTOR News (MC4),person,768,0,268,1036,74.13,default,0,
qwen3,8B,4,17,26,20,FACTOR Wiki (MC4),confident,2091,0,903,2994,69.84,default,0,
qwen3,8B,4,17,26,20,FACTOR Wiki (MC4),unconfident,2021,0,973,2994,67.5,default,0,
qwen3,8B,4,17,26,20,FACTOR Wiki (MC4),student,2085,0,909,2994,69.64,default,0,
qwen3,8B,4,17,26,20,FACTOR Wiki (MC4),person,2038,0,956,2994,68.07,default,0,
