model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,8B,-4,17,26,20,GPQA (gpqa_diamond),non expert,51,0,147,198,25.76,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_diamond),expert,55,0,143,198,27.78,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_diamond),neutral,56,0,142,198,28.28,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_extended),non expert,159,0,387,546,29.12,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_extended),expert,163,0,383,546,29.85,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_extended),neutral,164,0,382,546,30.04,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_main),non expert,130,0,318,448,29.02,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_main),expert,139,0,309,448,31.03,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_main),neutral,140,0,308,448,31.25,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_diamond),confident,60,0,138,198,30.3,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_diamond),unconfident,52,0,146,198,26.26,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_diamond),student,56,0,142,198,28.28,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_diamond),person,54,0,144,198,27.27,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_extended),confident,165,0,381,546,30.22,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_extended),unconfident,162,0,384,546,29.67,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_extended),student,161,0,385,546,29.49,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_extended),person,169,0,377,546,30.95,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_main),confident,143,0,305,448,31.92,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_main),unconfident,135,0,313,448,30.13,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_main),student,133,0,315,448,29.69,default,0,
qwen3,8B,-4,17,26,20,GPQA (gpqa_main),person,135,0,313,448,30.13,default,0,
