model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,14B,-4,22,37,25,Biology,neutral,221,0,130,351,62.96,default,0,
qwen3,14B,-4,22,37,25,Business,neutral,90,0,470,560,16.07,default,0,
qwen3,14B,-4,22,37,25,Chemistry,neutral,70,0,438,508,13.78,default,0,
qwen3,14B,-4,22,37,25,ComputerScience,neutral,27,0,33,60,45.0,default,0,
qwen3,14B,-4,22,37,25,EECS,neutral,14,0,62,76,18.42,default,0,
qwen3,14B,-4,22,37,25,Economics,neutral,194,0,206,400,48.5,default,0,
qwen3,14B,-4,22,37,25,ElectricCircuits,neutral,13,0,54,67,19.4,default,0,
qwen3,14B,-4,22,37,25,ElectricalMachines,neutral,16,0,86,102,15.69,default,0,
qwen3,14B,-4,22,37,25,Electromagnetics,neutral,17,0,83,100,17.0,default,0,
qwen3,14B,-4,22,37,25,ElectronicCommunications,neutral,25,0,90,115,21.74,default,0,
qwen3,14B,-4,22,37,25,Finance,neutral,12,0,62,74,16.22,default,0,
qwen3,14B,-4,22,37,25,FluidMechanics,neutral,7,0,58,65,10.77,default,0,
qwen3,14B,-4,22,37,25,Genetics,neutral,49,0,98,147,33.33,default,0,
qwen3,14B,-4,22,37,25,HeatTransfer,neutral,15,0,51,66,22.73,default,0,
qwen3,14B,-4,22,37,25,MachineDesign,neutral,10,0,60,70,14.29,default,0,
qwen3,14B,-4,22,37,25,Math,neutral,58,0,286,344,16.86,default,0,
qwen3,14B,-4,22,37,25,Mechanics,neutral,8,0,25,33,24.24,default,0,
qwen3,14B,-4,22,37,25,Optics,neutral,22,0,171,193,11.4,default,0,
qwen3,14B,-4,22,37,25,OrganicChemistry,neutral,3,0,14,17,17.65,default,0,
qwen3,14B,-4,22,37,25,PhysicalChemistry,neutral,27,0,189,216,12.5,default,0,
qwen3,14B,-4,22,37,25,Physics,neutral,87,0,408,495,17.58,default,0,
qwen3,14B,-4,22,37,25,Psychology,neutral,171,0,134,305,56.07,default,0,
qwen3,14B,-4,22,37,25,Thermodynamics,neutral,29,0,140,169,17.16,default,0,
qwen3,14B,-4,22,37,25,TransportPhenomena,neutral,20,0,128,148,13.51,default,0,
qwen3,14B,-4,22,37,25,abstract algebra,neutral,31,0,52,83,37.35,default,0,
qwen3,14B,-4,22,37,25,anatomy,neutral,28,0,51,79,35.44,default,0,
qwen3,14B,-4,22,37,25,astronomy,neutral,36,0,44,80,45.0,default,0,
qwen3,14B,-4,22,37,25,atkins,neutral,20,0,81,101,19.8,default,0,
qwen3,14B,-4,22,37,25,business ethics,neutral,16,0,27,43,37.21,default,0,
qwen3,14B,-4,22,37,25,calculus,neutral,9,0,31,40,22.5,default,0,
qwen3,14B,-4,22,37,25,chemmc,neutral,10,0,23,33,30.3,default,0,
qwen3,14B,-4,22,37,25,class,neutral,8,0,37,45,17.78,default,0,
qwen3,14B,-4,22,37,25,clinical knowledge,neutral,19,0,53,72,26.39,default,0,
qwen3,14B,-4,22,37,25,college biology,neutral,29,0,50,79,36.71,default,0,
qwen3,14B,-4,22,37,25,college chemistry,neutral,14,0,49,63,22.22,default,0,
qwen3,14B,-4,22,37,25,college computer science,neutral,25,0,51,76,32.89,default,0,
qwen3,14B,-4,22,37,25,college mathematics,neutral,13,0,61,74,17.57,default,0,
qwen3,14B,-4,22,37,25,college medicine,neutral,19,0,29,48,39.58,default,0,
qwen3,14B,-4,22,37,25,college physics,neutral,10,0,58,68,14.71,default,0,
qwen3,14B,-4,22,37,25,computer security,neutral,13,0,33,46,28.26,default,0,
qwen3,14B,-4,22,37,25,conceptual physics,neutral,51,0,85,136,37.5,default,0,
qwen3,14B,-4,22,37,25,diff,neutral,7,0,43,50,14.0,default,0,
qwen3,14B,-4,22,37,25,econometrics,neutral,25,0,60,85,29.41,default,0,
qwen3,14B,-4,22,37,25,electrical engineering,neutral,17,0,50,67,25.37,default,0,
qwen3,14B,-4,22,37,25,elementary mathematics,neutral,93,0,211,304,30.59,default,0,
qwen3,14B,-4,22,37,25,formal logic,neutral,30,0,68,98,30.61,default,0,
qwen3,14B,-4,22,37,25,fund,neutral,13,0,54,67,19.4,default,0,
