model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
llama3,8B,-4,11,20,20,FACTOR Expert (MC4),non expert,178,0,58,236,75.42,default,0,
llama3,8B,-4,11,20,20,FACTOR Expert (MC4),expert,187,0,49,236,79.24,default,0,
llama3,8B,-4,11,20,20,FACTOR Expert (MC4),confident,185,0,51,236,78.39,default,0,
llama3,8B,-4,11,20,20,FACTOR Expert (MC4),unconfident,86,0,150,236,36.44,default,0,
llama3,8B,-4,11,20,20,FACTOR Expert (MC4),neutral,184,0,52,236,77.97,default,0,
llama3,8B,-4,11,20,20,FACTOR News (MC4),non expert,718,0,318,1036,69.31,default,0,
llama3,8B,-4,11,20,20,FACTOR News (MC4),expert,727,0,309,1036,70.17,default,0,
llama3,8B,-4,11,20,20,FACTOR News (MC4),confident,725,0,311,1036,69.98,default,0,
llama3,8B,-4,11,20,20,FACTOR News (MC4),unconfident,499,0,537,1036,48.17,default,0,
llama3,8B,-4,11,20,20,FACTOR News (MC4),neutral,728,0,308,1036,70.27,default,0,
llama3,8B,-4,11,20,20,FACTOR Wiki (MC4),non expert,2012,0,982,2994,67.2,default,0,
llama3,8B,-4,11,20,20,FACTOR Wiki (MC4),expert,2102,0,892,2994,70.21,default,0,
llama3,8B,-4,11,20,20,FACTOR Wiki (MC4),confident,2089,0,905,2994,69.77,default,0,
llama3,8B,-4,11,20,20,FACTOR Wiki (MC4),unconfident,1298,0,1696,2994,43.35,default,0,
llama3,8B,-4,11,20,20,FACTOR Wiki (MC4),neutral,2100,0,894,2994,70.14,default,0,
