model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
llama3,8B,-4,11,20,20,GPQA (gpqa_diamond),non expert,50,0,148,198,25.25,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_diamond),expert,57,0,141,198,28.79,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_diamond),confident,62,0,136,198,31.31,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_diamond),unconfident,44,0,154,198,22.22,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_diamond),neutral,60,0,138,198,30.3,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_extended),non expert,157,0,389,546,28.75,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_extended),expert,185,0,361,546,33.88,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_extended),confident,186,0,360,546,34.07,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_extended),unconfident,143,0,403,546,26.19,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_extended),neutral,175,0,371,546,32.05,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_main),non expert,125,0,323,448,27.9,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_main),expert,135,0,313,448,30.13,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_main),confident,131,0,317,448,29.24,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_main),unconfident,119,0,329,448,26.56,default,0,
llama3,8B,-4,11,20,20,GPQA (gpqa_main),neutral,144,0,304,448,32.14,default,0,
