model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,8B,-4,17,26,20,Biology,non biology expert,247,0,104,351,70.37,default,0,
qwen3,8B,-4,17,26,20,Biology,biology expert,271,0,80,351,77.21,default,0,
qwen3,8B,-4,17,26,20,Biology,neutral,262,0,89,351,74.64,default,0,
qwen3,8B,-4,17,26,20,Business,non business expert,137,0,423,560,24.46,default,0,
qwen3,8B,-4,17,26,20,Business,business expert,140,0,420,560,25.0,default,0,
qwen3,8B,-4,17,26,20,Business,neutral,136,0,424,560,24.29,default,0,
qwen3,8B,-4,17,26,20,Chemistry,non chemistry expert,109,0,399,508,21.46,default,0,
qwen3,8B,-4,17,26,20,Chemistry,chemistry expert,122,0,386,508,24.02,default,0,
qwen3,8B,-4,17,26,20,Chemistry,neutral,109,0,399,508,21.46,default,0,
qwen3,8B,-4,17,26,20,ComputerScience,non computerscience expert,34,0,26,60,56.67,default,0,
qwen3,8B,-4,17,26,20,ComputerScience,computerscience expert,38,0,22,60,63.33,default,0,
qwen3,8B,-4,17,26,20,ComputerScience,neutral,38,0,22,60,63.33,default,0,
qwen3,8B,-4,17,26,20,EECS,non eecs expert,17,0,59,76,22.37,default,0,
qwen3,8B,-4,17,26,20,EECS,eecs expert,20,0,56,76,26.32,default,0,
qwen3,8B,-4,17,26,20,EECS,neutral,20,0,56,76,26.32,default,0,
qwen3,8B,-4,17,26,20,Economics,non economics expert,214,0,186,400,53.5,default,0,
qwen3,8B,-4,17,26,20,Economics,economics expert,240,0,160,400,60.0,default,0,
qwen3,8B,-4,17,26,20,Economics,neutral,235,0,165,400,58.75,default,0,
qwen3,8B,-4,17,26,20,ElectricCircuits,non electriccircuits expert,16,0,51,67,23.88,default,0,
qwen3,8B,-4,17,26,20,ElectricCircuits,electriccircuits expert,19,0,48,67,28.36,default,0,
qwen3,8B,-4,17,26,20,ElectricCircuits,neutral,20,0,47,67,29.85,default,0,
qwen3,8B,-4,17,26,20,ElectricalMachines,non electricalmachines expert,33,0,69,102,32.35,default,0,
qwen3,8B,-4,17,26,20,ElectricalMachines,electricalmachines expert,36,0,66,102,35.29,default,0,
qwen3,8B,-4,17,26,20,ElectricalMachines,neutral,34,0,68,102,33.33,default,0,
qwen3,8B,-4,17,26,20,Electromagnetics,non electromagnetics expert,22,0,78,100,22.0,default,0,
qwen3,8B,-4,17,26,20,Electromagnetics,electromagnetics expert,23,0,77,100,23.0,default,0,
qwen3,8B,-4,17,26,20,Electromagnetics,neutral,18,0,82,100,18.0,default,0,
qwen3,8B,-4,17,26,20,ElectronicCommunications,non electroniccommunications expert,42,0,73,115,36.52,default,0,
qwen3,8B,-4,17,26,20,ElectronicCommunications,electroniccommunications expert,45,0,70,115,39.13,default,0,
qwen3,8B,-4,17,26,20,ElectronicCommunications,neutral,37,0,78,115,32.17,default,0,
qwen3,8B,-4,17,26,20,Finance,non finance expert,18,0,56,74,24.32,default,0,
qwen3,8B,-4,17,26,20,Finance,finance expert,22,0,52,74,29.73,default,0,
