model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,14B,4,22,37,25,Biology,neutral,311,0,40,351,88.6,default,0,
qwen3,14B,4,22,37,25,Business,neutral,150,0,410,560,26.79,default,0,
qwen3,14B,4,22,37,25,Chemistry,neutral,139,0,369,508,27.36,default,0,
qwen3,14B,4,22,37,25,ComputerScience,neutral,37,0,23,60,61.67,default,0,
qwen3,14B,4,22,37,25,EECS,neutral,28,0,48,76,36.84,default,0,
qwen3,14B,4,22,37,25,Economics,neutral,283,0,117,400,70.75,default,0,
qwen3,14B,4,22,37,25,ElectricCircuits,neutral,21,0,46,67,31.34,default,0,
qwen3,14B,4,22,37,25,ElectricalMachines,neutral,38,0,64,102,37.25,default,0,
qwen3,14B,4,22,37,25,Electromagnetics,neutral,34,0,66,100,34.0,default,0,
qwen3,14B,4,22,37,25,ElectronicCommunications,neutral,38,0,77,115,33.04,default,0,
qwen3,14B,4,22,37,25,Finance,neutral,19,0,55,74,25.68,default,0,
qwen3,14B,4,22,37,25,FluidMechanics,neutral,22,0,43,65,33.85,default,0,
qwen3,14B,4,22,37,25,Genetics,neutral,75,0,72,147,51.02,default,0,
qwen3,14B,4,22,37,25,HeatTransfer,neutral,23,0,43,66,34.85,default,0,
qwen3,14B,4,22,37,25,MachineDesign,neutral,16,0,54,70,22.86,default,0,
qwen3,14B,4,22,37,25,Math,neutral,91,0,253,344,26.45,default,0,
qwen3,14B,4,22,37,25,Mechanics,neutral,10,0,23,33,30.3,default,0,
qwen3,14B,4,22,37,25,Optics,neutral,42,0,151,193,21.76,default,0,
qwen3,14B,4,22,37,25,OrganicChemistry,neutral,9,0,8,17,52.94,default,0,
qwen3,14B,4,22,37,25,PhysicalChemistry,neutral,66,0,150,216,30.56,default,0,
qwen3,14B,4,22,37,25,Physics,neutral,127,0,368,495,25.66,default,0,
qwen3,14B,4,22,37,25,Psychology,neutral,250,0,55,305,81.97,default,0,
qwen3,14B,4,22,37,25,Thermodynamics,neutral,64,0,105,169,37.87,default,0,
qwen3,14B,4,22,37,25,TransportPhenomena,neutral,43,0,105,148,29.05,default,0,
qwen3,14B,4,22,37,25,abstract algebra,neutral,36,0,47,83,43.37,default,0,
qwen3,14B,4,22,37,25,anatomy,neutral,40,0,39,79,50.63,default,0,
qwen3,14B,4,22,37,25,astronomy,neutral,52,0,28,80,65.0,default,0,
